X,Y
1087,109.9497
1088,110.5531
1089,111.0750
1090,111.4801
1091,112.0493
1092,112.1205
1093,112.4241
1094,112.9288
1095,113.2287
1096,113.2201
1097,113.2277
1098,113.0180
1099,113.0057
1100,112.9953
1101,112.7182
1102,112.6309
1103,112.3966
1104,112.2846
1105,111.9383
1106,111.8340
1107,111.4431
1108,111.5731
1109,111.2562
1110,111.2078
1111,111.4241
1112,111.1822
1113,111.0939
1114,111.0873
1115,111.0417
1116,110.8235
1117,110.9668
1118,110.8454
1119,111.0655
1120,111.4241
1121,111.0531
1122,111.7182
1123,111.7713
1124,111.8899
1125,112.0047
1126,112.0626
1127,112.0123
1128,111.9108
1129,111.7894
1130,111.3662
1131,111.4307
1132,111.1698
1133,110.9241
1134,111.1328
1135,111.0560
1136,111.0275
1137,110.5275
1138,110.5873
1139,110.2268
1140,110.2533
1141,109.9279
1142,109.4336
1143,109.4867
1144,109.0655
1145,108.4886
1146,108.0000
1147,107.8842
1148,107.3454
1149,106.9326
1150,106.4583
1151,105.8947
1152,105.4848
1153,104.9668
1154,104.3178
1155,103.7903
1156,103.0398
1157,102.5892
1158,101.5579
1159,100.9696
1160,100.1841
1161,99.4402
1162,98.5721
1163,97.9668
1164,97.3824
1165,96.3890
1166,95.4212
1167,94.8235
1168,93.6992
1169,92.9345
1170,92.3899
1171,91.6565
1172,90.7562
1173,90.0702
1174,89.2154
1175,88.3700
1176,87.4725
1177,86.5977
1178,85.5882
1179,84.5607
1180,83.5664
1181,82.6973
1182,81.4753
1183,80.1233
1184,78.8169
1185,77.7865
1186,76.6452
1187,75.2040
1188,73.7837
1189,72.4621
1190,70.8567
1191,69.5702
1192,68.1670
1193,66.6395
1194,65.3416
1195,63.7960
1196,62.3150
1197,61.0636
1198,59.6205
1199,58.0778
1200,57.0930
1201,55.6660
1202,54.4639
1203,53.4061
1204,52.1954
1205,51.2362
1206,49.9772
1207,49.2685
1208,48.4450
1209,47.4535
1210,47.0398
1211,46.4203
1212,45.8074
1213,45.2315
1214,44.7334
1215,44.3340
1216,44.0806
1217,43.6376
1218,43.4516
1219,43.0750
1220,43.0161
1221,42.8349
1222,42.6622
1223,42.6423
1224,42.5664
1225,42.4042
1226,42.7030
1227,42.5797
1228,42.7894
1229,42.8861
1230,42.9972
1231,43.0683
1232,43.3074
1233,43.2287
1234,43.4516
1235,43.4165
1236,43.5987
1237,43.6120
1238,43.7049
1239,43.5873
1240,44.0740
1241,43.8615
1242,44.1167
1243,44.1328
